!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
" SOS - SAUvez-moi _ HELP - … l'aide " SIGN‚: le PRINCE BOUFFON	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
" SOS - SAlvenme _ HELP - socorro " FDO: el PR¡NCipe BUF¢N	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
"SOS - help me! mayday! help me!" SIGNed: PRINCE BUFFoON	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
"SOS - hilfe - HELP - rettet mich!" gezeichnet: der narrenprinz	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
"SOS...help me! mayday! help me!" SIGNed: PRINCE BUFFoON	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
"sos-salvatemi-help-aiuto" firmato : il principe buffone	SOS±Ï©R°Ú¡I¸p¦W¡G¤p¤¡¤ı¤l
???	¡H¡H¡H
A VER, HARAG N, ¨no te da ganas de rascar un poco las cuerdas?	³Ş¡AÃi°©ÀY¡A¨Ó¤@¬q­µ¼Ö¦p¦ó¡H
A candle? is that all?	¤@®ÚÄúÀë¡H¨S¤°»ò¤j¤£¤Fªº¡I
AGENDA	µ§°O¥»
AH! TRISTE AFFAIRE EN V‚RIT‚...	­ü¡I³o¬O¤°»òºG¨Æ¡K¡K
AH! what a sad business...	­ü¡I³o¬O¤°»òºG¨Æ¡K¡K
AJUSTES	¿ï¶µ
ALLEZ va coucher ersatz de Tortue NINJA!	½ö¤U¡A§A³o°¦°²§ÔªÌÀt¡I
ALORS VOUS ˆtes contente?	³o¼Ë§Aº¡·N¤F¶Ü¡H
ALORS on trouve toujours le moyen de glander? Je t'ai … l'oeil moi!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
ALorS poup‚e, on se fait la bise? Tu connais bien un raccourci!	Ä_¨©¡A·Q¿Ë¤@¤U¶Ü¡H§Aª¾¹Dªñ¸ô§a¡I
ANYTHING PRECIOUS HEre?	³o¸Ì¦³¤°»ò­È¿úªF¦è¶Ü¡H
AU weh!	«u­ò¡I
Abdruck	©İ¦L
Abeille	»e¸Á
Abeja	»e¸Á
Ach ja!wirklich eine traurige geschichte...	­ü¡I³o¬O¤°»òºG¨Æ¡K¡K
Ach so, sie wollen dem armen kind helfen jetzt versteh ich... bin misstrauisch..	°Ú¡A§ÚÀ´¤F¡I§A­Ì­n±Ï¨º«Ä¤l¡A©êºp¦hºÃ¤F
Acqua	¤ô
Agua	¤ô
Agujero	¬}
Ah je comprends... Vous allez d‚livrer ce pauvre enfant... Excusez ma m‚fiance	°Ú¡A§ÚÀ´¤F¡I§A­Ì­n±Ï¨º«Ä¤l¡A©êºp¦hºÃ¤F
Ah no! non Š questo il momento... sono esausto! dai vattene via!	°Ú¤£¡A²{¦b¤£¬O®É­Ô¡I§Ú²ÖÃz¤F¡Aºu°Õ¡I
Ah! che triste faccenda! in verit…!	­ü¡I³o¬O¤°»òºG¨Æ¡K¡K
Aidez-nous … sortir de l…, princesse des profondeurs!	²`®ü¤½¥D¡AÀ°§Ú­ÌÂ÷¶}³o¸Ì¡I
Aiutaci a ritrovare il figliolo del vecchio angulafre!	À°§Ú­Ì§ä¦Ñ¦w­ô©Ôµáªº¤p«Ä¡I
Alb¢ndiga	¦×¤Y
Alb¢ndigas	¦×¤Y
Alcalde	§øªø
Alcald¡a	§ø¤½©Ò
Aldea	§ø²ø
Alfombra	¦a´à
Allumette	¤õ®ã
Allumettes	¤õ®ã
Alte Leute	¦ÑÀY
Amboá	ÅK¯z
Amidal	ªü¦Ì¹F
Amoniak	ªü¼¯¥§¨È
Antena	Ä²¨¤
Antenna	Ä²¨¤
Antenne	Ä²¨¤
Anvil	ÅK¯z
Ape	»e¸Á
Apertura	¶}¤f
Apfel	Ä«ªG
Apparat	¾÷¾¹
Apple	Ä«ªG
Apples	Ä«ªG
Are you still hanging around? i've got my eye on you!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
Aren't you cheeky? if i had one i'd really give it to you!	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
Armadio	Âd¤l
Armadura	²¯¥Ò
Armario	Âd¤l
Armatura	²¯¥Ò
Armchair	§ß¤â´È
Armoire	Âd¤l
Armor	²¯¥Ò
Armour	²¯¥Ò
Armure	²¯¥Ò
Ascia	©òÀY
Ast	¾ğªK
Astilla de vidrio	¬Á¼ş¸H¤ù
Auge	²´·ú
Avant d'avaler ce breuvage ne devrais- pas jeter un dernier coup d'oeil ici?	³Ü³o­Ó¤§«e¡A­n¤£­n¦A¬İ¬İ¥|©P¡H
Avvoltoio	¨rÆN
Axt	©òÀY
A‹e!	«u­ò¡I
BLOC-NOTE	µ§°O¥»
BLOC-NOTES	µ§°O¥»
BONJOUR noble savant! quelle est la fonction de cet engin?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
BUEN D¡a aldeanos, ¨conoc‚is la casa de don TAZAAR?	³Ş¡I§Aª¾¹D¶ğÂÄº¸¤j¤H¦í­ş¶Ü¡H
Bacchetta	¹ª´Î
Baguette	¹ª´Î
Balai	±½§â
Ball	«OÄÖ²y
Ballon	®ğ²y
Bartschlssel	¤jÆ_°Í
Basket	Äx¤l
Basketball player	Äx²y­û
Basketballer	Äx²y­û
Basketteur	Äx²y­û
Ba£l	½c¤l
