U0001	14	7x2	AH! what a sad business...	AH! TRISTE AFFAIRE EN VéRITé...	DEMOUSA#0,DEMOUSA0#0,INTRO#0,INTRO0#0
U0002	14	7x2	a delicate child snatched from his home by a demon!	un fragile enfant enlevé de son foyer par un démon!	DEMOUSA#1,DEMOUSA0#1,INTRO#1,INTRO0#1
U0003	14	7x2	the unbearable anguish of his poor father...	la douleur insupportable d'un père effondré...	DEMOUSA#2,DEMOUSA0#2,INTRO#2,INTRO0#2
U0004	14	7x2	o flesh of my flesh, my own blood, my only son...	ô chair de ma chair, sang de mon sang, mon unique fils...	DEMOUSA#3,DEMOUSA0#3,INTRO#3,INTRO0#3
U0005	14	7x2	a cursed castle standing in a hostile country inhabited by a	un château maudit ancré dans une contrée hostile	DEMOUSA#4,DEMOUSA0#4,INTRO#4,INTRO0#4
U0006	14	7x2	dreadful demon who's the incarnation of all evil!	habité par un démon répugnant qui INCARNE le mal...	DEMOUSA#5,DEMOUSA0#5,INTRO#5,INTRO0#5
U0007	14	7x2	but all is not lost!	mais tout n'est pas perdu!	DEMOUSA#6,INTRO#6,INTRO0#6,USA#6
U0008	14	7x2	because two outstanding heroes will try theirluck!	car deux héros d'envergure vont tenter l'aventure!	DEMOUSA#7,DEMOUSA0#7,INTRO#7,INTRO0#7
U0009	76	19x4	GOBLIINS ERROR!		DEMOUSA#8
U0010	64	16x4	Consultez la grille de couleurs fournie avec le logiciel et tapez le chiffre correspondant à la couleur de la case: 1 - rouge 2 - noir 3 - jaune 4 - vert 5 - bleu 6 - blanc 7 - gris 8 - mauve	Consultez la grille de couleurs fournie avec le logiciel et tapez le chiffre correspondant à la couleur de la case: 1 - rouge 2 - noir 3 - jaune 4 - vert 5 - bleu 6 - blanc 7 - gris 8 - mauve	DEMOUSA#9,DEMOUSA0#9,INTRO0#9,USA0#9
U0011	64	16x4	Consult the color chart in the box and type the number corresponding with the color of the space: 1 - red 2 - black 3 - yellow 4 - green 5 - blue 6 - white 7 - grey 8 - magenta		DEMOUSA#10
