# 由 tools/merge_units.py 從 translation/out/*.tsv 產生，**不要直接編輯這個檔**——下次合併會蓋掉。
!	！
!!	！！
!!!	！！！
" SOS - SAUvez-moi _ HELP - à l'aide " SIGNé: le PRINCE BOUFFON	SOS救命啊！署名：小丑王子
" SOS - SAlvenme _ HELP - socorro " FDO: el PRíNCipe BUFóN	SOS救命啊！署名：小丑王子
"SOS - help me! mayday! help me!" SIGNed: PRINCE BUFFoON	SOS救命啊！署名：小丑王子
"SOS - hilfe - HELP - rettet mich!" gezeichnet: der narrenprinz	SOS救命啊！署名：小丑王子
"SOS...help me! mayday! help me!" SIGNed: PRINCE BUFFoON	SOS救命啊！署名：小丑王子
"sos-salvatemi-help-aiuto" firmato : il principe buffone	SOS救命啊！署名：小丑王子
???	？？？
A VER, HARAGáN, ¿no te da ganas de rascar un poco las cuerdas?	喂，懶骨頭，來一段音樂如何？
A candle? is that all?	一根蠟燭？沒什麼大不了的！
AGENDA	筆記本
AH! TRISTE AFFAIRE EN VéRITé...	唉！這是什麼慘事……
AH! what a sad business...	唉！這是什麼慘事……
AJUSTES	選項
ALLEZ va coucher ersatz de Tortue NINJA!	躺下，你這隻假忍者龜！
ALORS VOUS êtes contente?	這樣你滿意了嗎？
ALORS on trouve toujours le moyen de glander? Je t'ai à l'oeil moi!	還在那晃啊？我盯著你們呢！
ALorS poupée, on se fait la bise? Tu connais bien un raccourci!	寶貝，想親一下嗎？你知道近路吧！
ANYTHING PRECIOUS HEre?	這裡有什麼值錢東西嗎？
AU weh!	哎唷！
Abdruck	拓印
Abeille	蜜蜂
Abeja	蜜蜂
Ach ja!wirklich eine traurige geschichte...	唉！這是什麼慘事……
Ach so, sie wollen dem armen kind helfen jetzt versteh ich... bin misstrauisch..	啊，我懂了！你們要救那孩子，抱歉多疑了
Acqua	水
Agua	水
Agujero	洞
Ah je comprends... Vous allez délivrer ce pauvre enfant... Excusez ma méfiance	啊，我懂了！你們要救那孩子，抱歉多疑了
Ah no! non è questo il momento... sono esausto! dai vattene via!	啊不，現在不是時候！我累爆了，滾啦！
Ah! che triste faccenda! in verità!	唉！這是什麼慘事……
Aidez-nous à sortir de là, princesse des profondeurs!	深海公主，幫我們離開這裡！
Aiutaci a ritrovare il figliolo del vecchio angulafre!	幫我們找老安哥拉菲的小孩！
Albóndiga	肉丸
Albóndigas	肉丸
Alcalde	村長
Alcaldía	村公所
Aldea	村莊
Alfombra	地毯
Allumette	火柴
Allumettes	火柴
Alte Leute	老頭
Amboß	鐵砧
Amidal	阿米達
Amoniak	阿摩尼亞
Antena	觸角
Antenna	觸角
Antenne	觸角
Anvil	鐵砧
Ape	蜜蜂
Apertura	開口
Apfel	蘋果
Apparat	機器
Apple	蘋果
Apples	蘋果
Are you still hanging around? i've got my eye on you!	還在那晃啊？我盯著你們呢！
Aren't you cheeky? if i had one i'd really give it to you!	你這無禮鬼！有的話早就賞你一巴掌！
Armadio	櫃子
Armadura	盔甲
Armario	櫃子
Armatura	盔甲
Armchair	扶手椅
Armoire	櫃子
Armor	盔甲
Armour	盔甲
Armure	盔甲
Ascia	斧頭
Ast	樹枝
Astilla de vidrio	玻璃碎片
Auge	眼睛
Avant d'avaler ce breuvage ne devrais- pas jeter un dernier coup d'oeil ici?	喝這個之前，要不要再看看四周？
Avvoltoio	禿鷹
Axt	斧頭
Aïe!	哎唷！
BLOC-NOTE	筆記本
BLOC-NOTES	筆記本
