U0421	巫師，幫個忙啦！你以為這很簡單啊？
U0422	抱歉朋友，我被惡魔打暈了，得緩緩……
U0423	我這有瓶藥水，加熱後能打開所有的門！
U0424	啊不，現在不是時候！我累爆了，滾啦！
U0425	尊貴的魔法師，現在我們能做什麼？
U0426	好了，這下小鬼不見蹤影了！
U0427	超人，你只能去追他啦！他現在在冥界！
U0428	惡魔，站住！把小丑王子還給我們！
U0429	不！我會困在冥界都是你們害的！
U0430	喂，醜八怪，這裡可沒城堡舒服吧？
U0431	給我等著，臭小鬼，抓到就扭斷你脖子！
U0432	阿摩尼亞
U0433	牙齒
U0434	老鼠
U0435	泥巴
U0436	鱷魚
U0437	太好了！王子救回來了，我們閃啦！
U0438	你想逃出去？作夢！這是我最終的復仇！
U0439	認識你真夠倒楣，臭丑角，掰掰！
U0440	喔？你想走？作夢！你跟我一樣永遠困在這
U0441	小丑王子
U0442	introbb
U0443	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯和溫可才能請他吃喝。
U0444	摩德姆斯把芬格斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
U0445	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
U0446	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
U0447	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
U0448	要制伏翁卡波，得把友善藥水灑進廚師做的肉丸裡。得先惹他生氣（他最討厭肉丸太辣），趁他撲向廚師時，把圖釘放上椅墊。得先鋸斷科利比的鎖鏈才拿得到圖釘，鍋裡的小人會給你工具。
U0449	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
U0450	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
U0451	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
U0452	要去冥界，得先在塔薩爾那裡找到那瓶藥水，加熱到對的溫度就能打開所有的門。得想辦法惹惱這位魔法師，才能順手拿到幾樣東西，其中一樣能把骷髏放出來。
U0453	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯和溫可才能請他吃喝。
