U0361	漂亮的蠟燭，可惜沒燭芯。
U0362	奇怪，骷髏裡有隻眼睛！
U0363	哈囉，蟑螂兄！這裡真不好走！
U0364	這是什麼？拿來當牙籤正好！
U0365	聞起來像蜂蜜，能吃嗎？
U0366	一根蠟燭？沒什麼大不了的！
U0367	他年紀雖大，眼神還是很有神！
U0368	第一次看到蟑螂戴墨鏡穿球鞋！
U0369	別提了！不過你們可以用魔法卡！
U0370	苦啊！這裡老是被吃！你見過我兄弟嗎？
U0371	村莊
U0372	蘋果
U0373	豆子
U0374	彈射器
U0375	帽子
U0376	鼴鼠
U0377	蘋果
U0378	保齡球
U0379	順著巨豆藤爬下逃脫
U0380	樹先生，又見面了！沒想到這麼快！
U0381	小王子，拜託別拖時間，快跟上！
U0382	太太早安，下面天氣還好嗎？
U0383	這次不渴了嗎？
U0384	快下來，臭小子！我們還有事要辦！
U0385	喂，大嬸，有籃子借一下嗎？
U0386	你們回村子啦！這扇門通往塔薩爾！
U0387	不行！不過你們可以拿顆蘋果！
U0388	不行！我餓了！真的餓了！
U0389	想都別想，怪物！我才不跟你走！
U0390	不……有點涼呢！
U0391	你這無禮鬼！有的話早就賞你一巴掌！
U0392	觸角
U0393	泡泡
U0394	別針
U0395	保齡球瓶
U0396	石板
U0397	星星
U0398	岩石
U0399	鳥群
U0400	獅子
U0401	籠子
U0402	為何抓走我們的小丑？他其實是王子……
U0403	抱歉，但你們得幫我們重獲自由！
U0404	！！！
U0405	！！
U0406	！
U0407	骷髏
U0408	牙籤
U0409	肖像
U0410	扶手椅
U0411	菸斗
U0412	黑板
U0413	水窪
U0414	海綿
U0415	鉛筆
U0416	煙霧
U0417	附身小丑
U0418	這孩子中邪了！我帶他回實驗室。得讓他喝噴泉水，快去取水回來見我！
U0419	小精靈凱旋回村，卻見小丑神色有異……
U0420	尊敬的法師，能幫王子喝水嗎？
