U0301	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
U0302	你在裡面幹嘛？
U0303	放我出去！放我出去！我的愛人在外等我！
U0304	他們也想吃你？
U0305	不，把我關在這唱悲歌……
U0306	肉丸
U0307	被吸進管子，浮出水面！
U0308	難吃死了！這些肉丸辣過頭了！
U0309	不行，會滴出來，他會把它丟掉……
U0310	不行，我太尊重廚藝了……
U0311	舌頭
U0312	耳朵
U0313	岩架
U0314	小丑
U0315	胡椒
U0316	蟑螂
U0317	圖釘
U0318	仁慈藥水
U0319	雙手
U0320	皇冠
U0321	畫筆
U0322	羽毛
U0323	葛洛奇，蟑螂愛好者
U0324	翁卡波，肉丸愛好者
U0325	卑劣的阿摩尼亞
U0326	被囚禁的小丑王子
U0327	您好，尊貴的學者！這機器是做什麼用的？
U0328	這是縮小機，是那可怕的惡魔逼我造的！
U0329	喂，愛因斯坦，你有沒有辦法困住那惡魔？
U0330	當然有辦法！讓他喝下仁慈藥水就行！
U0331	你們這麼愛新國王，畫得這麼起勁！
U0332	當然愛啊！他還封我當御用試菜官呢！
U0333	畫得不錯，藝術家！那裡怎麼有隻瓢蟲？
U0334	新國王只吃這個！我從階梯下的洞塞進去！
U0335	恕我直言，先生……您這處境不太妙！
U0336	我才是真正的國王！皇冠能讓我變回原樣！
U0337	喂，小傢伙，你站在上面幹嘛？
U0338	臭小子，我可是偉大國王！惡魔把我關這！
U0339	放我下來，讓我好好教訓那惡魔……
U0340	國王萬歲！我這就去找人來幫忙解開他！
U0341	學者
U0342	盔甲
U0343	頭盔
U0344	畫家
U0345	漆罐
U0346	書籤
U0347	印章
U0348	光線
U0349	蠟
U0350	蠟燭
U0351	鎖孔
U0352	種子
U0353	玻璃碎片
U0354	眼睛
U0355	火柴
U0356	植物
U0357	刀柄
U0358	刀尖
U0359	書籤要我拿來幹嘛！
U0360	這是個印章……那又怎樣？
