U0061	圓形鑰匙
U0062	大鑰匙
U0063	香腸
U0064	酒
U0065	火柴
U0066	尾巴
U0067	咕咕鐘
U0068	茶壺
U0069	喂！你知道塔薩爾大人住哪嗎？
U0070	得想辦法引開這兩個老頭子。
U0071	得想辦法逗這兩個老傢伙笑一下！
U0072	開關
U0073	老頭
U0074	鄉紳
U0075	在村子盡頭，有噴泉那間。
U0076	你們兩個笨蛋幹嘛這樣瞪我？
U0077	我們快餓死了！只有鄉紳有得吃。
U0078	大人這麼有派頭，能否助我們一臂之力？
U0079	做個問卷調查，能問幾個問題嗎？
U0080	梯階
U0081	機關
U0082	窗戶
U0083	噴泉
U0084	有什麼事嗎？
U0085	地窖
U0086	蟾蜍
U0087	尊貴的巫師，請容我們求見。
U0088	門
U0089	巫師
U0090	抱歉！我沒空！
U0091	其實，我們是來賣刷子的……
U0092	真是死纏爛打！好吧，進來吧。
U0093	煙囪
U0094	水柱
U0095	拜託，好心的巨人，醒醒吧！
U0096	快點啦懶骨頭，該起床了！
U0097	喂，笨蛋！別煩我，我正忘記飢渴呢。
U0098	拜託讓我們過去啦！
U0099	快點動一動，你這座肉山！
U0100	好啊小矮子，先拿好酒來再說！
U0101	巨人
U0102	狗
U0103	雞
U0104	好啊，先拿好酒來！
U0105	好啊，先給我東西吃！
U0106	花
U0107	扮鬼臉
U0108	柴堆
U0109	洞穴
U0110	獸穴
U0111	車轍
U0112	洞
U0113	蛋
U0114	火
U0115	維瓦札特
U0116	嘿，你好啊！有進展嗎？
U0117	樹枝
U0118	鼓棒
U0119	捕蝶網
U0120	打氣筒
