U0001	唉！這是什麼慘事……
U0002	嬌弱的孩子被惡魔擄走了！
U0003	可憐老爸痛不欲生……
U0004	獨子啊，我的心頭肉……
U0005	荒地裡有座被詛咒的城堡
U0006	住著邪惡化身的惡魔……
U0007	但是還有救！
U0008	因為兩位大英雄要出馬了！
U0009	小精靈錯誤！
U0010	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
U0011	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8洋紅
U0012	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
U0013	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
U0014	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
U0015	但是還有救！
U0016	小精靈錯誤！
U0017	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8洋紅
U0018	舌頭
U0019	耳朵
U0020	芬格斯
U0021	洞
U0022	按鈕
U0023	溫可
U0024	開口
U0025	簷架
U0026	小丑
U0027	胡椒
U0028	蟑螂
U0029	門
U0030	圖釘
U0031	掃把
U0032	凳子
U0033	銼刀
U0034	親切藥水
U0035	鹽
U0036	手
U0037	皇冠
U0038	手套
U0039	畫筆
U0040	羽毛
U0041	葛洛克，蟑螂控
U0042	翁卡波，肉丸控
U0043	卑劣的阿摩尼亞
U0044	被囚禁的小丑王子
U0045	頭
U0046	大巫師！中土的同行派我們來的！
U0047	我們要找安哥拉菲王被擄走的兒子
U0048	塔薩爾
U0049	我知道，是可惡的阿摩尼亞抓走的
U0050	牠篡了王位，換自己當家……
U0051	瓶子
U0052	嘿，小鬼們，想幹嘛？
U0053	嘿，老海豹，摩德姆斯派我們來找你！
U0054	幫我們找老安哥拉菲的小孩！
U0055	多謝指點，該往哪走？
U0056	好啦鬍子佬！快指路，動動腦！
U0057	離開村子往城堡！小心飢餓巨人擋路！
U0058	水
U0059	花
U0060	石頭
